Sequence Number,Main Plant Group,Family Name (English),Family (Scientific),Genus Name (English),Genus (Scientific),English Plant Name,English Alias,Scientific Name,Author,Distribution,Habitat,Life Form,Height,Morphology,Halophyte Type,Ecological Type,Maximum Salinity,Salinity Data Source,Photosynthetic Pathway,Uses,Literature Sources
1438,III. Angiosperms,Asteraceae,Asteraceae,Sonchella,Sonchella,Sonchella stenoma,,Sonchella stenoma,(Turcz. ex DC.) Sennikov,Distributed in Inner Mongolia and Gansu; Mongolia and Russia also found.,Occurs in steppe sandy land or saline land.,"Perennial herb, hemicryptophyte",Plant height 10–50 cm,"Stem erect, glabrous; leaves narrow, linear or linear-lanceolate, both surfaces glabrous; capitulum small, in stem branches apex rows forming narrow round conical-shaped raceme, involucre narrow round column-shaped, long 8–9 mm, involucral bracts apex with angles-shaped attached genus structure. Flowering and fruiting period July–September.",Salt-excluding halophyte,Xerophytic; psammophytic,"Unknown, 350 mM (estimated value)",0,C3,Medicinal,"Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
1439,III. Angiosperms,Asteraceae,Asteraceae,Ligularia,Ligularia,Ligularia thyrsoidea,,Ligularia thyrsoidea,DC.,"Distributed in Xinjiang; Mongolia, Russia and Central Asia also found.",Occurs in salinized sandy land or riverbanks.,"Perennial herb, hemicryptophyte",Plant height 20–50 cm,"Stem densely covered with red he woolly; leaves sagittate or triangular, margin with teeth, base cordate, veins pinnate-shaped; capitulum numerous, arranged forming pyramidal shape round conical-shaped corymb, bract linear, involucre cup-shaped, wide 6–9 mm, involucral bracts 6–8, with white membranous margin. Flowering and fruiting period July–August.",Salt-excluding halophyte,Hygrophytic,"Unknown, 200 mM (estimated value)",0,C3,"Ornamental, ecological use","Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
1440,III. Angiosperms,Asteraceae,Asteraceae,Ligularia,Ligularia,Ligularia macrophylla,,Ligularia macrophylla,(Ledeb.) DC.,Distributed in Xinjiang; Pakistan and Central Asia also found.,Occurs in moist salinized sandy land or riverbanks.,"Perennial herb, hemicryptophyte",Plant height 60–180 cm,"Plant gray-green; leaves erect, smooth, with la powdery, base decurrent forming stalk, veins pinnate-shaped; round conical-shaped raceme, capitulum small, involucre narrow tube shape or narrow tuo luo shape, involucral bracts 4–5, oblong, ligulate flower 1–3, tubular flower 2–7. Flowering period July–August.",Salt-excluding halophyte,Hygrophytic,"Unknown, 200 mM (estimated value)",0,C3,"Medicinal, ornamental, ecological use","Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
1441,III. Angiosperms,Asteraceae,Asteraceae,Senecio,Senecio,Senecio dubitabilis,,Senecio dubitabilis,C.Jeffrey & Y.L.Chen,"Distributed in North China and Northwest China; North Asia, Central Asia and South Asia also found.",Occurs in sand stones ground or fields.,Annual herb,Plant height 5–30 cm,"Leaves sessile, spatulate to linear, pinnate lobed to entire; inflorescence sparsely covered, inflorescence stalk long, long 1.5–4 cm, capitulum disc-shaped, involucral bracts about 15, outer layers bracteole 4–5, without or sometimes with short black pointed, florets entire tubular, yellow. Flowering period May–September.",Salt-excluding halophyte,Xerophytic,"Unknown, 200 mM (estimated value)",0,C3,Ecological use,"Chinese Halophytes, 2nd edition"
1442,III. Angiosperms,Asteraceae,Asteraceae,Senecio,Senecio,Senecio vulgaris,,Senecio vulgaris,L.,"Eurasia widely distributed, China from Northeast to Southwest China and elsewhere naturalized.","Occurs in seashore sandy land, fields wasteland or open grassland.",Annual herb,Plant height 12–45 cm,"Leaves sessile, spatulate to linear, pinnate lobed to with teeth; inflorescence dense, inflorescence stalk short, long 0.5–2 cm, capitulum disc-shaped, involucral bracts 18–22, outer layers bracteole 7–11, apex with long black pointed, florets entire tubular, yellow. Flowering period April–October.",Salt-excluding halophyte,Mesophytic,"Unknown, 200 mM (estimated value)",0,C3,Ecological use,Supplemented based on field surveys
1443,III. Angiosperms,Asteraceae,Asteraceae,Jacobaea,Jacobaea,Jacobaea vulgaris,,Jacobaea vulgaris,Gaertn.,"Distributed in Xinjiang; North Asia, Central Asia and Europe also found.",Occurs in meadow or oases fields.,"Perennial herb, hemicryptophyte",Plant height 30–100 cm,"Stem erect; leaves large head pinnately divided, base half amplexicaul; capitulum numerous arranged forming terminal compound corymb, involucre wide bell-shaped or half globose, involucral bracts about 13, ligulate flower 12–15, tongue segments yellow, long 8–9 mm; pappus deciduous. Flowering period May–July.",Salt-excluding halophyte,Mesophytic,"Unknown, 300 mM (estimated value)",0,C3,"Ornamental, ecological use","Chinese Halophytes, 2nd edition"
1444,III. Angiosperms,Asteraceae,Asteraceae,Helichrysum,Helichrysum,Helichrysum arenarium,,Helichrysum arenarium,(L.) Moench,Distributed in Xinjiang; Mongolia and Russia also found.,"Occurs in sand dunes, gravelly ground, moist salt ground or grassland.","Perennial herb, hemicryptophyte",Plant height 10–30 cm,"Rhizome woody; leaves elliptic round-shaped spatulate, oblanceolate to linear, entire, both surfaces covered with woolly; capitulum small, broad obovate or globose, numerous arranged forming compound corymb, involucral bracts ning meng yellow or orange yellow, apex toward outer reflexed, margin dry membranous. Flowering period August.",Salt-excluding halophyte,Mesophytic or xerophytic; psammophytic,"Unknown, 200 mM (estimated value)",0,C3,"Medicinal, ornamental, ecological use","Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
1445,III. Angiosperms,Asteraceae,Asteraceae,Leontopodium,Leontopodium,Leontopodium pusillum,,Leontopodium pusillum,(Beauverd) Hand.-Mazz.,"Distributed in Qinghai, Xinjiang and Tibet; India also found.","Occurs in plateaus grass floodplain flats, salt-lake shores or rocky gravel ground.","Perennial herb, hemicryptophyte",Plant height 2–7 cm,"Plant dense tufted appearing cushion-forming; basal leaves lotus base-shaped, spatulate or linear-shaped spatulate, both surfaces covered with white or silvery white dense soft hairs; bracts leaves qun diameter about 1.5–2.5 cm, capitulum dense, densely covered with white villous-shaped soft hairs. Flowering period July–August.",Salt-excluding halophyte,Hygrophytic or mesophytic,"Unknown, 200 mM (estimated value)",0,C3,Ecological use,Supplemented based on field surveys
1446,III. Angiosperms,Asteraceae,Asteraceae,Tripolium,Tripolium,Tripolium pannonicum,,Tripolium pannonicum,(Jacq.) Dobrocz.,"Distributed in northern China and western part each ground; Northeast China ya, North Asia and Central Asia also found.","Occurs in seashore saline-alkaline land, salt-lake shores or watersides marshland.",Annual herb,Plant height 30–80 cm,"Leaves strips-shaped or oblong-lanceolate, glabrous, succulent; capitulum rows forming umbel locule-shaped, with long inflorescence stalk, margin tongue segments bluish purple, bisexual flowers yellow, involucre nearly tubular, flower after bell-shaped; achene narrow oblong, with thick margins ribs, pappus in flower after enlarged long, reaching 14–16 mm. Flowering and fruiting period August–December.",Euhalophyte,Hygrophytic,"1180 mM (118 dS/m, 75520 mg/L); 450 mM; 330 mM (21400 mg/L)",Salinity tolerance value from database,C3,"Ornamental, ecological use","eHALOPH; Handbook of Halophytes 17, 525; Chinese Halophytes, 2nd edition; Chinese Halophytes, 1st edition"
1447,III. Angiosperms,Asteraceae,Asteraceae,Galatella,Galatella,Galatella dahurica,,Galatella dahurica,DC.,Distributed in Northeast China; Mongolia and Russia also found.,"Occurs in slopes grassland, saline-alkaline land steppe.","Perennial herb, hemicryptophyte",Plant height 40–80 cm,"Entire plant covered with dense papillae-shaped short hairs and slightly bristles; leaves linear-lanceolate or linear; capitulum few arranged forming sparse corymb, involucre nearly half globose, ligulate flower not bearing measured, tongue segments pale purple red or purple blue; achene oblong, without ribs, pappus rough hairs-shaped. Flowering period July–September.",Euhalophyte ？,Mesophytic,"Unknown, 300 mM (estimated value)",0,C3,"Ornamental, ecological use","Chinese Halophytes, 2nd edition"
1448,III. Angiosperms,Asteraceae,Asteraceae,Galatella,Galatella,Galatella sedifolia,,Galatella sedifolia,(L.) Greuter,"Distributed in Xinjiang; Europe, Central Asia and Russia also found.",Occurs in slopes grassland.,"Perennial herb, hemicryptophyte",Plant height 25–120 cm,"Leaves linear-lanceolate or linear, with 3 strips veins, upper surface conspicuous with glandular dots; capitulum numerous arranged forming dense corymb, involucre wide inverted conical shape, involucral bracts leaves textured, ligulate flower 5–10, tongue segments pale purplish red, achene oblong, pappus rough hairs-shaped. Flowering and fruiting period July–September.",Euhalophyte (salt-loving plant),Mesophytic,335 mM (21450 mg/L),0,C3,"Ornamental, ecological use","Handbook of Halophytes 18, 524"
1449,III. Angiosperms,Asteraceae,Asteraceae,Galatella,Galatella,Galatella villosa,,Galatella villosa,(L.) Rchb.f.,"Distributed in Xinjiang; Central Asia, Southwest Asia, Europe and Russia also found.","Occurs in salt becoming marshland, terraces or mostly rocky slopes.","Perennial herb, hemicryptophyte",Plant height 15–35 cm,"Plant covered with grayish white soft hairs; leaves oblong or long round-shaped linear; capitulum numerous arranged forming relatively dense corymb, involucre short cylindrical or inverted conical, involucral bracts thinly leathery, flower entire is tubular, corolla yellow. Flowering period August–September.",Euhalophyte,Xerophytic,231 mM (14800 mg/L),0,C3,Ecological use,"Handbook of Halophytes 17, 524"
1450,III. Angiosperms,Asteraceae,Asteraceae,Crinitaria,Crinitaria,Crinitaria tatarica,,Crinitaria tatarica,(Less.) Soják,Distributed in Xinjiang.,"Occurs in sandy alkaline ground, half desert or gravel dry slopes.","Perennial herb, hemicryptophyte",Plant height 10–30 cm,"Plant covered with thin spider-like filiform short soft hairs; leaves very small, nearly leathery, linear or long round-shaped linear, long 1–3 cm; capitulum very small, numerous rows forming dense corymb, involucre short cylindrical, involucral bracts thinly leathery, flower entire two -like, tubular, pale yellow. Flowering and fruiting period July–September.",Salt-excluding halophyte,Xerophytic,"Unknown, 200 mM (estimated value)",0,C3,Ecological use,Supplemented based on flora records
1451,III. Angiosperms,Asteraceae,Asteraceae,Aster,Aster,Aster arenarius,,Aster arenarius,(Kitam.) Nemoto,"Distributed in Zhejiang pu tuo, Japan also found.",Occurs in seashore sandy land.,"Biennial or perennial herb, hemicryptophyte",Plant height 15–70 cm,"Plant nearly glabrous; basal leaves spatulate, sparse spreading, both surfaces glabrous or with sparse pubescent, long 2 – 3 cm, entire; capitulum solitary branches end, involucre without margin hairs, pappus different shape, ligulate corolla hairs short scale-like, tubular corolla hairs bristles-shaped, pale brown. Flower period 10 – 12 yue.",Salt-excluding halophyte,Mesophytic; lithophytic,"Unknown, 300 mM (estimated value)",0,C3,Ecological use,Supplemented based on flora records
1452,III. Angiosperms,Asteraceae,Asteraceae,Aster,Aster,Aster spathulifolius,,Aster spathulifolius,Maxim.,Distributed in Zhejiang boat-shaped mountain archipelagos; Japan and Korea also found.,Occurs in sea island reefs.,"Perennial herb, hemicryptophyte",Plant height 20–60 cm,"Plant densely covered with white mostly slender bao long glandular hairs, stem woody becoming; basal leaves dense, lotus base-shaped, spatulate or obovate, long 3–9 cm, margin with teeth, texture thick; involucre wide bell-shaped, margin with margin hairs, ligulate flowers bluish purple; pappus same shape, bristles-shaped, yellowish white. Flower period 10 – 12 yue.",Salt-excluding halophyte,Mesophytic; lithophytic,"Unknown, 300 mM (estimated value)",0,C3,Ecological use,Supplemented based on field surveys
1453,III. Angiosperms,Asteraceae,Asteraceae,Asterothamnus,Asterothamnus,Asterothamnus alyssoides,,Asterothamnus alyssoides,(Turcz.) Novopokr.,Distributed in Inner Mongolia; Mongolia also found.,Occurs in sandy ground or dry ground.,"Deciduous subshrub, chamaephyte",Plant height 8–20 cm,"Leaves very small, long round-shaped oblanceolate, long 6–8 mm, wide 2–4 mm, both surfaces covered with white spider-like filiform short soft hairs; involucre wide obovate, involucral bracts covered with spider-like filiform short soft hairs, apex obtuse, ligulate flower tongue segments pale blue. Flowering and fruiting period July–September.",Salt-excluding halophyte,Xerophytic; psammophytic,"Unknown, 300 mM (estimated value)",0,C3,"Sand stabilization, ecological use",Supplemented based on flora records
1454,III. Angiosperms,Asteraceae,Asteraceae,Asterothamnus,Asterothamnus,Asterothamnus molliusculus,,Asterothamnus molliusculus,Novopokr.,Distributed in Inner Mongolia; Mongolia also found.,Occurs in steppe band sandy soil.,"Deciduous subshrub, chamaephyte",Plant height 12–40 cm,"Leaves elliptic or lanceolate, long 1–5 cm, wide 3–9 mm, covered with longer spider-like filiform rolled hairs or woolly; involucre half spherical-shaped, involucral bracts apex acuminate and slightly purplish red or brown, ligulate flower relatively mostly, tongue segments white or shallow red purple. Flowering and fruiting period June–September.",Salt-excluding halophyte,Xerophytic; psammophytic,"Unknown, 300 mM (estimated value)",0,C3,"Sand stabilization, ecological use",Supplemented based on flora records
1455,III. Angiosperms,Asteraceae,Asteraceae,Asterothamnus,Asterothamnus,Asterothamnus fruticosus,,Asterothamnus fruticosus,(C. Winkl.) Novopokr.,Distributed in Gansu and Xinjiang; Kazakhstan and Russia also found.,"Occurs in desert dry slopes, dry river valleys, floodplains or desert steppe.","Deciduous subshrub, chamaephyte",Plant height 20–40 cm,"Stem broom-shaped-shaped branched, covered with thin soft hairs; leaves dense, linear, long 10–20 mm, wide 1–1.5 mm; inflorescence stalk slender and long, involucre wide obovate, involucral bracts covered with short soft hairs, apex green or white, ligulate flower with or without, tongue segments pale purple. Flowering and fruiting period July–September.",Salt-excluding halophyte,Xerophytic,"Unknown, 300 mM (estimated value)",0,C3,"Sand stabilization, ecological use",Supplemented based on field surveys
